# Logfile created on 2017-04-24 18:08:11 +0000 by logger.rb/56438
[2017-04-24T18:08:11+00:00] INFO: Started chef-zero at chefzero://localhost:8889 with repository at /opt/gitlab/embedded
  One version per cookbook

[2017-04-24T18:08:11+00:00] INFO: Forking chef instance to converge...
[2017-04-24T18:08:11+00:00] INFO: *** Chef 12.12.15 ***
[2017-04-24T18:08:11+00:00] INFO: Platform: x86_64-linux
[2017-04-24T18:08:12+00:00] INFO: Storing updated cookbooks/gitlab/recipes/prometheus_user.rb in the cache.
[2017-04-24T18:08:12+00:00] INFO: Storing updated cookbooks/gitlab/recipes/logrotate_folders_and_configs.rb in the cache.
[2017-04-24T18:08:12+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-workhorse_disable.rb in the cache.
[2017-04-24T18:08:12+00:00] INFO: Storing updated cookbooks/gitlab/recipes/redis_disable.rb in the cache.
[2017-04-24T18:08:12+00:00] INFO: Storing updated cookbooks/gitlab/recipes/config.rb in the cache.
[2017-04-24T18:08:12+00:00] INFO: Storing updated cookbooks/gitlab/recipes/postgres-exporter_disable.rb in the cache.
[2017-04-24T18:08:12+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-prometheus.rb in the cache.
[2017-04-24T18:08:12+00:00] INFO: Storing updated cookbooks/gitlab/recipes/sidekiq_disable.rb in the cache.
[2017-04-24T18:08:12+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitaly.rb in the cache.
[2017-04-24T18:08:12+00:00] INFO: Storing updated cookbooks/gitlab/recipes/redis.rb in the cache.
[2017-04-24T18:08:12+00:00] INFO: Storing updated cookbooks/gitlab/recipes/logrotate.rb in the cache.
[2017-04-24T18:08:12+00:00] INFO: Storing updated cookbooks/gitlab/recipes/mattermost.rb in the cache.
[2017-04-24T18:08:12+00:00] INFO: Storing updated cookbooks/gitlab/recipes/add_trusted_certs.rb in the cache.
[2017-04-24T18:08:12+00:00] INFO: Storing updated cookbooks/gitlab/recipes/bootstrap.rb in the cache.
[2017-04-24T18:08:12+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-shell.rb in the cache.
[2017-04-24T18:08:12+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-pages_disable.rb in the cache.
[2017-04-24T18:08:12+00:00] INFO: Storing updated cookbooks/gitlab/recipes/redis-exporter.rb in the cache.
[2017-04-24T18:08:12+00:00] INFO: Storing updated cookbooks/gitlab/recipes/unicorn_disable.rb in the cache.
[2017-04-24T18:08:12+00:00] INFO: Storing updated cookbooks/gitlab/recipes/show_config.rb in the cache.
[2017-04-24T18:08:12+00:00] INFO: Storing updated cookbooks/gitlab/recipes/node-exporter.rb in the cache.
[2017-04-24T18:08:12+00:00] INFO: Storing updated cookbooks/gitlab/recipes/mailroom_disable.rb in the cache.
[2017-04-24T18:08:12+00:00] INFO: Storing updated cookbooks/gitlab/recipes/default.rb in the cache.
[2017-04-24T18:08:12+00:00] INFO: Storing updated cookbooks/gitlab/recipes/nginx.rb in the cache.
[2017-04-24T18:08:12+00:00] INFO: Storing updated cookbooks/gitlab/recipes/postgresql_disable.rb in the cache.
[2017-04-24T18:08:12+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-workhorse.rb in the cache.
[2017-04-24T18:08:12+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitaly_disable.rb in the cache.
[2017-04-24T18:08:12+00:00] INFO: Storing updated cookbooks/gitlab/recipes/sidekiq.rb in the cache.
[2017-04-24T18:08:12+00:00] INFO: Storing updated cookbooks/gitlab/recipes/mailroom.rb in the cache.
[2017-04-24T18:08:12+00:00] INFO: Storing updated cookbooks/gitlab/recipes/mattermost_disable.rb in the cache.
[2017-04-24T18:08:12+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-healthcheck.rb in the cache.
[2017-04-24T18:08:12+00:00] INFO: Storing updated cookbooks/gitlab/recipes/gitlab-rails.rb in the cache.
[2017-04-24T18:08:12+00:00] INFO: Storing updated cookbooks/gitlab/recipes/web-server.rb in the cache.
[2017-04-24T18:08:12+00:00] INFO: Storing updated cookbooks/gitlab/recipes/prometheus_disable.rb in the cache.
